EUR_o..Mstb.,WellID,Gel.x.link..Gals.,Proppant...Total..lbs.,Fluid.Amount,Operator,Completion.Date,Surface.Latitude,Surface.Longitude,Depth.Total.Driller..ft.,Deepest_Zone,Injection.Rate,Additive,Mesh.Size,Total.Height
13.684,54,0,506200,71163.8792,21.4532365284706,39133,31.71903,-101.75111,9853,4,37.832,54.951881859813,39.8038348631111,2444
28.09232775,87,486631,591188,46429,21.4532365284706,39324,31.71962,-101.76398,9840,4,35,39.4782385373333,39.8038348631111,1566
24.40562809,95,484369,539400,44767,21.4532365284706,39560,31.76379,-101.76925,9880,4,34.938,52.5522443430623,39.8038348631111,2530
9.735,98,403696,474820,53626,21.4532365284706,39522,31.71701,-101.75875,9890,4,35.6985,51.3393230343742,39.8038348631111,1546.31
11.188,115,547628,602280,42873,21.4532365284706,39772,31.72171,-101.77145,9882,4,36.232,58.836245925122,39.8038348631111,1571
16.768,118,570219,621902,48079,21.4532365284706,39776,31.71336,-101.77513,9886,4,36.553,55.400455656583,39.8038348631111,1556
23.53290545,481,188330,313940,52122,53.6507024403165,37662,31.72589,-101.85365,9000,4,31.022,55.1781540364977,39.8038348631111,1553
28.54388452,484,191981,472170,209.72,53.6507024403165,37629,31.75071,-101.84015,8970,4,30.6707142857143,53.5708283560513,39.8038348631112,1577.54
13.256,502,0,525460,2999699.13600001,52.1992853722222,37722,31.85098,-101.94733,10800,4,35.06,65.8868995616834,45.6761654626007,1548.93
19.40387603,514,193620,472700,500,53.6507024403165,37781,31.74117,-101.86813,9080,4,32,52.6499273035714,39.8038348631112,1581
26.49440013,536,357288,462698,85376,53.6507024403165,37847,31.80119,-101.94986,10500,4,31,75.0982042241667,39.8038348631111,1014.65
15.96090849,537,367542,390120,63546,53.6507024403165,37879,31.802,-101.96354,10505,4,34.1605714285714,75.0982042241667,39.8038348631111,1013.03
25.85262153,538,285726,507220,45738,53.6507024403165,37836,31.80377,-101.95493,10500,4,32.7568888888889,57.8693067971489,39.8038348631111,1576
18.94660235,545,291178,219633,74794,53.6507024403165,37904,31.75528,-101.93938,10500,4,36,60.1484351718943,39.8038348631111,1009.55
