WellID,EUR_o..Mstb.,Fluid.Water..Gals.,Acid..Gals.,Gel.x.link..Gals.,Proppant...Total..lbs.,Fluid...Total..lbs.,Fluid.Amount,Propping.Agent.Amount,Fluid.Amount.Per.Foot,Propping.Agent.Amount.Per.Foot,Subarea,Operator,County,Completion.Date,Completion.Year,Surface.Latitude,Surface.Longitude,Depth.Total.Driller..ft.,WB.Spacing.Proxy,SPBY.Spacing.Proxy,Frac.Stages,Treatment.Records,Other..Gals.,Top_Zone,Deepest_Zone,Number,Type,Depth.Base,Fluid.Type,Propping.Agent.Type,Additive,Mesh.Size,Treated.Stage.Height,Total.Height,Geology.Score
36,12.48,383200,0,0,100450,383200,251400,51200,242.664092664093,49.4208494208494,37.4785431919082,32.2985667405982,45.0003683905377,38770,2006,31.70647,-101.5785,8243,44.4812271666837,39.9132468291517,2,2,0,1,4,2,46.2993373360375,7347,35.81895018376,46.4885978294857,36.9588168142941,35.265390030236,1036,2595,6270.2
37,18.55149194,497600,0,0,155650,497600,252900,99750,394.539781591264,155.616224648986,37.4785431919082,32.2985667405982,45.0003683905377,38824,2006,31.71755,-101.56402,8255,44.1646661294716,39.9132468291517,2,2,0,2,4,2,46.2993373360375,8052,35.81895018376,46.4885978294857,36.9588168142941,35.265390030236,641,1645,5437.72
40,12.164,383600,0,0,101720,383600,251600,51350,238.936372269706,48.7654320987654,37.4785431919082,32.2985667405982,45.0003683905377,38827,2006,31.70857,-101.57012,8205,44.4812271666837,47.6641071277034,2,2,0,1,4,2,46.2993373360375,7328,35.81895018376,46.4885978294857,36.9588168142941,35.265390030236,1053,2610,6372.24
42,10.876,374500,0,0,100975,374500,167700,58975,246.617647058824,86.7279411764706,37.4785431919082,32.2985667405982,45.0003683905377,38842,2006,31.69948,-101.57606,8283,44.4812271666837,47.6641071277034,2,2,0,1,4,2,46.2993373360375,8133,35.81895018376,46.4885978294857,36.9588168142941,35.265390030236,680,2468,6089.52
48,19.20842649,0,9750,316903,702360,326653,55157,128358,328.315476190476,764.035714285714,48.2678540898953,32.2985667405982,45.0003683905377,39131,2007,31.74807,-101.72345,9775,48.5997313820817,39.9132468291517,5,9,0,1,4,9,46.2993373360375,7025,45.6145114608116,46.4885978294857,37.446070756,35.265390030236,168,2344,5958
49,14.8,0,9750,348769,505100,358519,66985,17637,788.058823529412,207.494117647059,48.2678540898953,32.2985667405982,45.0003683905377,39049,2006,31.74469,-101.72234,9806,48.5997313820817,39.9132468291517,5,9,0,1,4,9,46.2993373360375,9041,46.9919495209192,46.4885978294857,50.075857325368,35.265390030236,85,2340,6044
52,23.14,0,12750,433981,522940,446731,51612,133871,307.214285714286,796.85119047619,48.2678540898953,32.2985667405982,45.0003683905377,39065,2006,31.72326,-101.74759,9843,44.1646661294716,39.9132468291517,6,11,0,2,4,11,46.2993373360375,7096,45.6145114608116,46.4885978294857,48.7225007616148,35.265390030236,168,1575,5245
53,18.328,0,10750,268997,207880,279747,58616,158996,509.704347826087,1382.57391304348,50.9104396193166,32.2985667405982,45.0003683905377,39128,2007,31.72145,-101.75576,9844,44.4812271666837,39.9132468291517,4,8,0,4,4,8,46.2993373360375,8539,45.6145114608116,46.4885978294857,37.446070756,35.265390030236,115,516,1224
54,13.684,0,3000,0,506200,16115.32,45870,18170,91.891583747927,151.416666666667,50.9104396193166,32.2985667405982,45.0003683905377,39133,2007,31.71903,-101.75111,9853,44.1646661294716,39.9132468291517,5,6,0,1,4,6,46.2993373360375,9676,51.5371502690523,46.4885978294857,48.7225007616148,35.265390030236,120,2444,6175
60,13.624,0,14250,412047,523253,426297,45604,134736,302.013245033113,892.291390728477,48.2678540898953,32.2985667405982,45.0003683905377,39106,2007,31.73249,-101.74037,9792,44.1646661294716,39.9132468291517,6,12,0,2,4,12,46.2993373360375,7027,45.6145114608116,46.4885978294857,48.7225007616148,35.265390030236,151,1556,5224
61,20.67705873,0,14250,385924,535260,400174,51540,146540,306.785714285714,872.261904761905,48.2678540898953,32.2985667405982,45.0003683905377,39094,2007,31.74408,-101.73978,9850,44.4812271666837,39.9132468291517,6,12,0,1,4,12,46.2993373360375,7032,45.6145114608116,46.4885978294857,37.446070756,35.265390030236,168,2492,6247
64,12.671,0,11250,350595,505220,361845,47343,125270,309.43137254902,818.75816993464,48.2678540898953,32.2985667405982,45.0003683905377,39159,2007,31.72402,-101.72892,9782,48.5997313820817,39.9132468291517,5,10,0,1,4,10,46.2993373360375,7022,45.6145114608116,46.4885978294857,37.446070756,35.265390030236,153,2451,6091
69,25.31341516,0,13750,315647,225120,329397,52237,155100,398.75572519084,1183.96946564886,48.2678540898953,47.2149192475855,45.0003683905377,39196,2007,31.73285,-101.59494,9487,48.5997313820817,47.6641071277034,5,10,0,4,4,10,46.2993373360375,8104,45.6145114608116,46.4885978294857,37.446070756,35.265390030236,131,1017,1188.36
74,20.11541731,0,9520,592788,603100,602308,89690,141700,303.006756756757,478.716216216216,48.2678540898953,36.0978431057576,45.0003683905377,39253,2007,31.74921,-101.60913,8750,48.5997313820817,59.7140833134848,4,7,0,2,4,7,46.2993373360375,8438,46.9919495209192,46.4885978294857,48.7225007616148,35.265390030236,296,1607,5362
86,17.63959573,0,14250,403229,600723,417479,47393,138461,307.746753246753,899.097402597403,48.2678540898953,32.2985667405982,45.0003683905377,39534,2008,31.76536,-101.76084,9894,44.1646661294716,39.9132468291517,6,12,0,1,4,12,46.2993373360375,7065,45.6145114608116,46.4885978294857,48.7225007616148,35.265390030236,154,2549,6243
89,22.11157295,258392,0,0,466275,258392,174688,214875,396.1179138322,487.244897959184,37.4785431919082,32.2985667405982,45.0003683905377,39558,2008,31.65722,-101.54181,8252,44.1646661294716,47.6641071277034,2,2,0,2,4,2,46.2993373360375,8113,35.81895018376,46.4885978294857,36.9588168142941,35.265390030236,441,1622,5508
90,10.56,0,16500,451507,561280,468007,72210,183837,487.905405405405,1242.14189189189,48.2678540898953,32.2985667405982,45.0003683905377,39404,2007,31.72807,-101.74337,9900,44.1646661294716,39.9132468291517,5,10,0,1,4,10,46.2993373360375,7048,45.6145114608116,46.4885978294857,48.7225007616148,35.265390030236,148,2472,5999
93,8.086191594,0,14250,369411,474363,383661,52601,140817,367.839160839161,984.734265734266,50.9104396193166,32.2985667405982,45.0003683905377,39568,2008,31.72585,-101.75281,9886,44.1646661294716,39.9132468291517,6,12,0,2,4,12,46.2993373360375,7125,45.6145114608116,46.4885978294857,37.446070756,35.265390030236,143,1502,5273
94,8.808,0,14250,384132,522900,398382,48792,140167,318.901960784314,916.124183006536,48.2678540898953,32.2985667405982,45.0003683905377,39545,2008,31.71945,-101.73191,9878,44.1646661294716,39.9132468291517,6,12,0,2,4,12,46.2993373360375,7073,45.6145114608116,46.4885978294857,37.446070756,35.265390030236,153,1603,5241
97,21.94799122,0,19000,552036,552180,571036,46609,130467,879.415094339623,2461.64150943396,48.2678540898953,47.2149192475855,45.0003683905377,39624,2008,31.97212,-101.68489,9983,48.5997313820817,53.6855631306289,7,14,0,1,4,14,46.2993373360375,6480,45.6145114608116,46.4885978294857,48.7225007616148,35.265390030236,53,2339,6518
99,11.934,0,14250,451957,638440,466207,48842,142580,321.328947368421,938.026315789474,48.2678540898953,32.2985667405982,45.0003683905377,39494,2008,31.7278,-101.72911,9878,48.5997313820817,39.9132468291517,6,12,0,2,4,12,46.2993373360375,7027,45.6145114608116,46.4885978294857,37.446070756,35.265390030236,152,1610,5265
