EUR_o..Mstb.,WellID,Fluid.Water..Gals.,Acid..Gals.,Proppant...Total..lbs.,Fluid...Total..lbs.,Propping.Agent.Amount,Fluid.Amount.Per.Foot,Operator,County,Completion.Date,Depth.Total.Driller..ft.,WB.Spacing.Proxy,SPBY.Spacing.Proxy,Between_Zone,Frac.Stages,Type,Fluid.Type,Propping.Agent.Type,Additive,Mesh.Size,Total.Height,Geology.Score
0.578,1359.75,0,2.5,773646.25,784153,28520.75,505.661207172159,35.0804697180488,50.0247607149579,40771,11748.25,45.3525727019272,43.7092329098299,6.25,13.25,45.1882199388182,45.3131892238557,43.2573592038088,53.938563806772,35.265390030236,2093.16,11326.0475
1.27177052566667,889,439586,5666.66666666667,571196,865523.666666667,110210.666666667,387.871281501681,30.6798430677712,48.3499632734845,40294.6666666667,10879.6666666667,45.643021213675,42.4968669286689,7.33333333333333,6,46.2993373360375,49.5629373329721,53.8916643135033,48.7225007616148,35.265390030236,2817.7,13874.1066666667
3.340870865,372.5,0,83554.9999999988,125000,151200,125000,1231.24579850431,29.3976583765641,45.0003683905377,40954.5,10262.5,44.1646661294716,46.7994049798903,7.5,1,46.2993373360375,45.5493525267337,46.4885978294857,42.2692752058223,4.695253278,3523.325,17476.105
4.206,819,0,12282,874451,804504,583280,311.436022679856,47.667992523324,47.5125645527478,40778,10309,43.799148260388,50.6748351291662,4.5,1.5,46.2993373360375,46.3032304908654,46.4885978294857,49.3991790434914,68.7727801518461,4538.28,9848.835
4.8055,1420.5,0,6500,318850,891701,318850,326.830962599632,31.6867463723334,50.0247607149579,40852,11163.5,46.3821987557766,43.7886769784276,6.5,1,46.2993373360375,45.6145114608116,45.1894320994444,48.7225007616148,52.019085091041,2331.8,11735.665
5.693370168,1489.2,0,6687.5,450392,412196.25,133092.8,1031.1929523429,29.1713780452505,48.1592655722442,40419.8,10302.4,44.0978110247545,40.1642746824277,5.6,3.2,46.2993373360375,45.6145114608116,46.4885978294857,45.7815797747846,27.622855842177,2268.024,10341.836
6.90054137366667,1000,55500,20500,419006.666666667,405197,110500,558.876707820394,35.9910850326699,50.9485797369528,40306.6666666667,10379,45.643021213675,47.0876390291613,4,3.66666666666667,46.2993373360375,51.5371502690523,46.4885978294857,38.5516637875556,35.265390030236,1729.98666666667,6623.39
7.668,1519.5,0,9268,679496.75,753217.25,175927.25,438.160952903647,37.6451429939396,45.7439294389645,40593.5,10906,36.0085069757144,39.9132468291517,5.5,7.5,46.2993373360375,46.3032304908654,44.1204468742571,50.075857325368,35.265390030236,2143.225,9864.56666666667
8.30802737057143,1306.71428571429,31482.1428571429,5894.28571428571,507941.428571429,660302.857142857,169895.142857143,420.284754320969,32.9185903432227,44.4146117817626,40069.7142857143,10271.7142857143,46.6989891309631,42.3070839525065,5.14285714285714,4.57142857142857,45.6644131090551,44.0429614286866,43.571671456678,44.2814224178983,35.265390030236,2162.85714285714,9385.16571428571
9.16533333333333,599.333333333333,0,14750,810727,591687.666666667,98976.6666666667,719.850010828159,34.4922931881349,46.6751658320111,40436,10398.3333333333,47.1213762978783,44.5040189296441,6,7.66666666666667,46.2993373360375,46.4317588122652,46.4885978294857,42.8406587879545,35.265390030236,2659.73,9307.08
10.0086,804.8,88762.8,24910.9999999998,514630.2,380100,73426,363.45500645851,32.5938590971957,44.5903387643951,39569.6,9461.2,44.0610474542328,43.356325904521,3.6,5.2,45.4104434182621,47.9301491129492,45.798127693127,46.4862713959095,35.265390030236,1802.986,7495.94
10.913776156,1229.13333333333,268893.714285714,6473.42857142857,513472.285714286,555334.142857143,121276.266666667,788.979442794102,36.4924381164738,44.0165943125086,39907.8,9599.6,45.5022254372009,42.7808727926985,4.69230769230769,5.2,45.7067413908539,43.3673307637842,45.798127693127,40.4925166707653,35.265390030236,1943.315,7223.84416666667
11.5676666666667,1041.16666666667,88963,6458.33333333333,452536.666666667,370705.666666667,225480,441.526714137149,33.9686804623309,42.6421882388266,39607.3333333333,9444.33333333333,46.3131196389508,43.5004429291565,3.83333333333333,3.5,46.2993373360375,47.8182974069098,46.4885978294857,47.9427252197004,35.265390030236,1991.93666666667,7165.785
12.55141919,757.666666666667,137292.25,8875,399035.125,405513.75,95343.4444444444,442.823173940509,35.4631411343487,43.428248289397,39611.2222222222,9234.66666666667,45.2909299799237,43.1140063901811,3.55555555555556,4.66666666666667,46.2993373360375,43.3784966583,46.1050033092864,41.1320603101972,39.4538137954373,2166.5075,6504.41666666667
13.4190700321429,1504.35714285714,250539.559921667,5419.5,429102.333333333,616150.059999999,179416.615384615,615.708991436734,37.8009292351805,44.3567319683417,39545.0714285714,9603.57142857143,45.4079508071041,42.4906347804782,4.28571428571429,3.78571428571429,46.2993373360375,45.0512153003361,45.5704887798147,44.4702761573353,35.265390030236,2018.32642857143,7946.15071428571
14.09944354,1708.33333333333,46458.3333333333,8833.33333333333,461979,466625.333333333,156475.5,900.238522785297,44.7288604964209,34.9179244075765,39859.8333333333,9151.66666666667,44.8318121403518,43.7096328068866,2,3.83333333333333,46.2993373360375,43.9819179146363,46.4885978294857,46.6404352849013,35.265390030236,1080.1575,3639.34
15.0528484605556,1224.66666666667,121443.714285714,4613.57142857143,455678.285714286,448148.071428571,143041.944444444,426.521324298866,39.0219014227772,42.2491582135415,39711.5,9510.33333333333,45.6406592821585,44.7876063421939,3.0625,4.76470588235294,46.2993373360375,46.452495881483,45.3869502813582,44.305563009023,39.2374653161838,1701.82466666667,5552.2075
15.8929639135714,1034,99647,15401.1538461538,400371.285714286,311833,86063.2857142857,1569.63445415147,38.8196275294678,44.2536878347315,39545.4285714286,9391.57142857143,46.6989891309631,43.1672919529244,4.57142857142857,4,46.2993373360375,45.4841935926558,46.4885978294857,43.1789979288928,35.265390030236,2070.61230769231,7994.14076923077
16.75077866875,1591.6875,117441.076923077,17585.3846153844,437908.230769231,426819.615384615,102914.4375,531.885163378661,36.8918104672317,37.9384501856998,39368.75,8891.875,44.4368711456483,41.3650746244187,2.875,3.78571428571429,45.7437786374279,43.4591599677914,45.8412820766494,44.9182750992407,35.265390030236,1631.25533333333,5104.0275
17.6228672023529,1256.70588235294,174396.117647059,5720.82352941176,587077.225,464627,242052.94117647,399.735564756946,44.4495614341218,40.5313928609215,39100.1176470588,9250.76470588235,46.2029939305875,44.7522911030082,3.94117647058824,3.35294117647059,46.2993373360375,45.6845739138908,46.4885978294857,44.0675952309783,36.9505912523717,1933.26176470588,7367.92117647059
18.540283214,1430.15,337986.526315789,3907.89473684211,334528.526315789,472041.210526316,158237,489.971179461646,39.6333295603873,40.6328579981499,39339.95,8984.75,45.7848049612906,42.5801060663604,3.63157894736842,3.05,46.2993373360375,44.6662138097255,46.315980295396,40.8187395399583,35.265390030236,2025.605,6484.25684210526
