Fluid.Water..Gals.,Acid..Gals.,Fluid...Total..lbs.,Fluid.Amount,Propping.Agent.Amount,Operator,County,Completion.Year,Surface.Latitude,WB.Spacing.Proxy,SPBY.Spacing.Proxy,Between_Zone,Frac.Stages,Other..Gals.,EUR_o..Mstb.,Top_Zone,Deepest_Zone,Type,Depth.Top,Fluid.Type,Propping.Agent.Type,Additive,Mesh.Size,BEND..KHW.
0,3500,190946,54558,136330,47.2149192475855,45.0003683905377,2003,31.65753,44.4812271666837,39.9132468291517,40.7605692326044,3,0,40.2,45.6894734043355,41.0841740484749,46.2993373360375,6825,45.6145114608116,46.4885978294857,44.2500420302041,35.3283279841421,10605.62
0,5000,206390,23277.5,0,47.2149192475855,45.0003683905377,2003,31.71566,48.5997313820817,39.9132468291517,36.3453506504094,3,0,39.05038257,39.4022307057895,41.0841740484749,49.8269617466667,6832,43.0317844528804,NA,44.2500420302041,NA,10565.34
334900,0,334900,334900,553020,48.1210657990625,45.0003683905377,2004,31.95401,39.3953253532759,47.6641071277034,36.3453506504094,1,0,51.856,39.4022307057895,41.0841740484749,46.2993373360375,6821,57.459789077293,46.4885978294857,NA,NA,10275.69
247212,0,247212,247212,265000,48.1210657990625,45.0003683905377,2003,31.70024,44.1646661294716,47.6641071277034,36.3453506504094,1,0,22.156,39.4022307057895,41.0841740484749,46.2993373360375,6155,35.81895018376,46.4885978294857,NA,NA,10056.55
0,5000,201636,23277.5,0,47.2149192475855,45.0003683905377,2003,31.69134,43.4336303913043,39.9132468291517,40.7605692326044,3,0,45.276,45.6894734043355,41.0841740484749,41.8548677471605,6839,43.0317844528804,NA,44.2500420302041,NA,10590.94
0,5000,212551,58044,135080,47.2149192475855,45.0003683905377,2003,31.66554,44.4812271666837,39.9132468291517,40.7605692326044,3,0,57.8056949,45.6894734043355,41.0841740484749,46.2993373360375,6816,45.6145114608116,46.4885978294857,NA,35.3283279841421,10599.31
0,5000,203685,23277.5,0,47.2149192475855,45.0003683905377,2003,31.65428,44.1646661294716,39.9132468291517,40.7605692326044,3,0,29.45106486,45.6894734043355,41.0841740484749,41.8548677471605,6624,43.0317844528804,NA,44.2500420302041,NA,10455.57
0,3500,153212,23277.5,0,47.2149192475855,45.0003683905377,2003,31.67106,44.1646661294716,39.9132468291517,45.572731767735,2,0,24.156,49.8051695977933,41.0841740484749,41.8548677471605,7410,43.0317844528804,NA,37.446070756,NA,10511.71
0,5000,203529,53096,135990,47.2149192475855,45.0003683905377,2003,31.71988,44.1646661294716,41.1683860955319,40.7605692326044,3,0,37.97570526,45.6894734043355,41.0841740484749,46.2993373360375,6815,45.6145114608116,46.4885978294857,NA,35.3283279841421,10553.93
0,5000,203996,23277.5,0,47.2149192475855,45.0003683905377,2003,31.65389,44.1646661294716,39.9132468291517,40.7605692326044,3,0,42.256,45.6894734043355,41.0841740484749,41.8548677471605,6504,43.0317844528804,NA,44.2500420302041,NA,10383.75
0,5000,188309,50358,124630,47.2149192475855,45.0003683905377,2003,31.71259,48.5997313820817,39.9132468291517,36.3453506504094,3,0,55.65707668,39.4022307057895,41.0841740484749,46.2993373360375,6826,45.6145114608116,46.4885978294857,NA,35.3283279841421,10560.65
0,5000,194252,23277.5,0,47.2149192475855,45.0003683905377,2003,31.71139,44.4812271666837,41.1683860955319,36.3453506504094,3,0,40.04565233,39.4022307057895,41.0841740484749,41.8548677471605,6806,43.0317844528804,NA,44.2500420302041,NA,10544.29
0,5000,200787,23277.5,0,47.2149192475855,45.0003683905377,2003,31.70902,48.5997313820817,39.9132468291517,36.3453506504094,3,0,54.56512178,39.4022307057895,41.0841740484749,41.8548677471605,6816,43.0317844528804,NA,44.2500420302041,NA,10560.28
0,0,317478,317478,384990,48.1210657990625,45.0003683905377,2004,31.7163,44.4812271666837,41.1683860955319,40.7605692326044,1,0,38.49591628,45.6894734043355,41.0841740484749,46.2993373360375,6155,45.6145114608116,46.4885978294857,56.36743087,NA,10032.39
0,5000,188918,54138,131493,47.2149192475855,45.0003683905377,2004,31.65926,44.4812271666837,39.9132468291517,40.7605692326044,3,0,51.73461391,45.6894734043355,41.0841740484749,46.2993373360375,6748,45.6145114608116,46.4885978294857,NA,35.3283279841421,10553.94
0,10500,280797,53970,133448,47.2149192475855,45.0003683905377,2005,31.67149,44.1646661294716,41.1683860955319,40.7605692326044,4,0,28.60094527,45.6894734043355,41.0841740484749,46.2993373360375,6386,45.6145114608116,46.4885978294857,NA,35.3283279841421,10269.29
398454,0,398454,398454,521740,48.1210657990625,45.0003683905377,2005,31.77613,44.1646661294716,47.6641071277034,36.3453506504094,1,0,39.1412402,39.4022307057895,41.0841740484749,46.2993373360375,5802,57.459789077293,46.4885978294857,36.9588168142941,35.3283279841421,10216.97
383200,0,383200,131800,49250,32.2985667405982,45.0003683905377,2006,31.65334,48.5997313820817,39.9132468291517,36.3453506504094,2,0,42.264,39.4022307057895,41.0841740484749,46.2993373360375,7641,35.81895018376,46.4885978294857,36.9588168142941,35.3283279841421,10127.76
383200,0,383200,251400,51200,32.2985667405982,45.0003683905377,2006,31.70647,44.4812271666837,39.9132468291517,36.3453506504094,2,0,12.48,39.4022307057895,41.0841740484749,46.2993373360375,6311,35.81895018376,46.4885978294857,NA,35.3283279841421,10205.13
497600,0,497600,252900,99750,32.2985667405982,45.0003683905377,2006,31.71755,44.1646661294716,39.9132468291517,40.7605692326044,2,0,18.55149194,45.6894734043355,41.0841740484749,46.2993373360375,7411,35.81895018376,46.4885978294857,NA,35.3283279841421,10160.27
497600,0,497600,252900,99750,32.2985667405982,45.0003683905377,2006,31.70983,44.1646661294716,39.9132468291517,40.7605692326044,2,0,39.468,45.6894734043355,41.0841740484749,46.2993373360375,7356,35.81895018376,46.4885978294857,36.9588168142941,35.3283279841421,10112.72
