EUR_o..Mstb.,Fluid.Water..Gals.,Fluid...Total..lbs.,Propping.Agent.Amount,Operator,County,Completion.Year,Deepest_Zone,Depth.Top,Additive,BEND..KHW.
40.2,0,190946,136330,47.2149192475855,45.0003683905377,2003,41.0841740484749,6825,44.2500420302041,10605.62
39.05038257,0,206390,0,47.2149192475855,45.0003683905377,2003,41.0841740484749,6832,44.2500420302041,10565.34
51.856,334900,334900,553020,48.1210657990625,45.0003683905377,2004,41.0841740484749,6821,45.2080766870953,10275.69
22.156,247212,247212,265000,48.1210657990625,45.0003683905377,2003,41.0841740484749,6155,45.7262631520518,10056.55
45.276,0,201636,0,47.2149192475855,45.0003683905377,2003,41.0841740484749,6839,44.2500420302041,10590.94
57.8056949,0,212551,135080,47.2149192475855,45.0003683905377,2003,41.0841740484749,6816,45.4847466433206,10599.31
29.45106486,0,203685,0,47.2149192475855,45.0003683905377,2003,41.0841740484749,6624,44.2500420302041,10455.57
24.156,0,153212,0,47.2149192475855,45.0003683905377,2003,41.0841740484749,7410,37.446070756,10511.71
37.97570526,0,203529,135990,47.2149192475855,45.0003683905377,2003,41.0841740484749,6815,45.973560711619,10553.93
42.256,0,203996,0,47.2149192475855,45.0003683905377,2003,41.0841740484749,6504,44.2500420302041,10383.75
55.65707668,0,188309,124630,47.2149192475855,45.0003683905377,2003,41.0841740484749,6826,44.9493408750035,10560.65
40.04565233,0,194252,0,47.2149192475855,45.0003683905377,2003,41.0841740484749,6806,44.2500420302041,10544.29
54.56512178,0,200787,0,47.2149192475855,45.0003683905377,2003,41.0841740484749,6816,44.2500420302041,10560.28
38.49591628,0,317478,384990,48.1210657990625,45.0003683905377,2004,41.0841740484749,6155,56.36743087,10032.39
51.73461391,0,188918,131493,47.2149192475855,45.0003683905377,2004,41.0841740484749,6748,44.26417062342,10553.94
28.60094527,0,280797,133448,47.2149192475855,45.0003683905377,2005,41.0841740484749,6386,46.1989782303862,10269.29
39.1412402,398454,398454,521740,48.1210657990625,45.0003683905377,2005,41.0841740484749,5802,36.9588168142941,10216.97
42.264,383200,383200,49250,32.2985667405982,45.0003683905377,2006,41.0841740484749,7641,36.9588168142941,10127.76
12.48,383200,383200,51200,32.2985667405982,45.0003683905377,2006,41.0841740484749,6311,38.7662317407717,10205.13
18.55149194,497600,497600,99750,32.2985667405982,45.0003683905377,2006,41.0841740484749,7411,37.876732315209,10160.27
39.468,497600,497600,99750,32.2985667405982,45.0003683905377,2006,41.0841740484749,7356,36.9588168142941,10112.72
12.164,383600,383600,51350,32.2985667405982,45.0003683905377,2006,41.0841740484749,6275,36.9588168142941,10177.76
10.876,374500,374500,58975,32.2985667405982,45.0003683905377,2006,41.0841740484749,7453,39.1560988436797,10208.98
30.20941884,0,440534,18182,32.2985667405982,45.0003683905377,2006,41.0841740484749,8913,43.4147590075867,10545.02
31.73182787,0,374212,0,32.2985667405982,45.0003683905377,2006,41.0841740484749,6923,44.0863643544401,10532.01
29.40701198,0,493325,16847,32.2985667405982,45.0003683905377,2006,41.0841740484749,9252,44.9025998176372,10520.65
19.20842649,0,326653,128358,32.2985667405982,45.0003683905377,2007,41.0841740484749,6857,38.8897095941658,10562.89
14.8,0,358519,17637,32.2985667405982,45.0003683905377,2006,41.0841740484749,8956,41.4968499581839,10555.15
23.14,0,446731,133871,32.2985667405982,45.0003683905377,2006,41.0841740484749,6928,42.7740873968699,10611.98
18.328,0,279747,158996,32.2985667405982,45.0003683905377,2007,41.0841740484749,8424,37.446070756,10641.31
13.684,0,153212,18170,32.2985667405982,45.0003683905377,2007,41.0841740484749,9556,41.6655906064286,10620.47
55.3862174,241752,241752,61500,32.2985667405982,45.0003683905377,2006,41.0841740484749,6272,36.9588168142941,10211.43
31.07150317,273756,273756,108332,47.2149192475855,45.0003683905377,2007,41.0841740484749,8400,43.8432033611798,10412.86
46.04231632,244692,244692,135248,47.2149192475855,45.0003683905377,2006,41.0841740484749,8190,43.0724527057335,10369.86
13.624,0,426297,134736,32.2985667405982,45.0003683905377,2007,41.0841740484749,6876,38.7898668300143,10570.53
20.67705873,0,400174,146540,32.2985667405982,45.0003683905377,2007,41.0841740484749,6864,37.446070756,10541.32
30.18,353400,353400,61500,32.2985667405982,45.0003683905377,2006,41.0841740484749,7659,36.9588168142941,10132.91
12.671,0,361845,125270,32.2985667405982,45.0003683905377,2007,41.0841740484749,6869,37.446070756,10575.36
6.904,0,273394,84000,47.2149192475855,45.0003683905377,2007,41.0841740484749,7525,44.9567704702491,10276.44
45.27229149,649698,649698,802700,48.1210657990625,45.0003683905377,2007,59.5113455050573,6862,45.6583403446087,10290.82
44.02376458,546126,546126,50000,48.1210657990625,45.0003683905377,2007,59.5113455050573,6878,44.8456925096013,10287.07
25.31341516,0,329397,155100,47.2149192475855,45.0003683905377,2007,41.0841740484749,7973,37.446070756,10264.08
