actual,predicted.EUR
40.2,31.5456626993896
39.05038257,30.8426974538423
22.156,30.5014839515649
40.04565233,27.6675589221519
54.56512178,31.3399611217485
18.55149194,22.6725006301015
10.876,21.7592345953823
30.20941884,21.428990491882
29.40701198,20.0293450199039
19.20842649,28.158305812254
18.328,29.3012106854035
30.18,23.5542173024977
12.671,25.6542883294643
45.27229149,59.9765970984997
44.02376458,53.2794171714186
12.64935437,32.9766972530223
22.11157295,21.8988412976835
40.092,59.5436220267727
8.808,21.0361970951269
9.735,27.2143045904839
49.36,43.6501311826812
25.376,40.7195899623684
24.14,35.319471018046
66.2739258,34.9291821197922
32.076,28.0184215817799
17.38,34.9216800934138
55.764,46.8225343786798
62.13588059,54.6597701435003
39.94539112,35.388648869658
69.756,56.4749086301408
26.556,51.4254780859721
25.224,41.0861466986507
49.828,47.8090243449219
73.936,44.0048416937384
61.80434803,59.5704595608991
23.042,69.589767349898
94.12444184,53.6638226724424
9.968,26.4370562570829
15.792,23.0982697436026
23.312,29.5666516959514
31.096,46.114038905321
30.76,48.7393247439873
30.492,48.9473804107463
29.132,45.2821241737392
42.18,47.1717092778581
19.268,42.2742747688683
36.568,52.5037465063108
28.784,26.4767872665489
46.584,57.0580991407594
73.544,60.3121148566356
129.9206302,72.9461091931441
152.468,63.821746979655
26.888,31.1152823498105
17.936,70.4938873357848
21.2,43.012871366087
6.988,32.1961327630789
26.516,31.922512264222
32.736,36.6194375897194
97.304,70.049681456363
109.128,56.5427504721843
19.164,73.1116315303054
29.81065115,42.7319133139142
25.35257157,40.3390750824026
124.084,65.1738933378276
41.792,48.0505142813925
76.148,62.4570213798356
28.564,39.1863505859189
49.16,38.8078909216786
35.588,47.6857881941744
25.476,43.8725014776601
64.552,65.2577255508256
19.624,59.6844405203935
20.088,54.091941453737
39.168,32.3009704495519
20.592,55.6467357587446
11.548,46.0025644063849
26.81893188,51.4601902123622
79.94,67.8515945317135
21.284,66.7090774345404
53.216,64.6772778898351
50.388,65.3710677438462
15.464,52.8115871322689
94.26,65.6362484754811
17.556,66.4212208413917
10.816,38.9341019907001
24.288,39.7280257638897
9.5,43.2441237709202
27.64,60.5479351358993
20.776,35.1467565704322
31.532,54.5489397040976
45.732,41.3443412684478
24.28251337,51.1377999402237
45.796,56.4471359313231
25.952,51.2354414421122
107.336,68.4085499230982
50.888,44.4099414318109
38.20476317,39.1485755800709
42.6041591,37.9001016168968
21.75125213,38.633482850184
65.232,43.4105533244458
40.9539479,35.9603371718783
44.628,31.6435027418767
35.397,48.8935159978612
35.86682289,47.2137344350626
53.48724843,40.5543521593615
13.256,72.9018429575328
35.08171606,43.73618228639
48.98034099,32.0147555488883
58.376,35.4584978615867
55.27195048,51.6236273788345
28.908,39.6492610061448
24.11090636,46.0085896526671
15.893,44.875510307286
61.44099752,43.6852237133328
19.83325601,49.3592443349351
69.06138557,50.1710751933476
51.75635454,40.6045450113127
20.972,38.941786148021
87.43651256,39.9488006308777
25.848,34.1775212469825
29.356,40.819803242734
69.4284143,40.5440477439363
39.228,37.2912103468473
36.512,44.3578877678819
