WellID,EUR_o..Mstb.
1,32.6254930526059
6,22.7756626711714
8,39.1696837257061
9,40.5159649000727
12,24.6822165980634
15,24.5780813865397
18,26.0749841789623
20,30.4720073194378
21,27.5412970719281
24,32.172068785396
27,29.9076458053526
28,38.547988620827
29,29.6951832957211
30,29.5720005858811
34,28.4566151235822
39,20.6225810414539
41,21.1720804409711
43,31.8478563427043
47,31.4195813010192
50,30.1484068124953
51,24.2614926882591
56,21.656868096117
57,21.7710953436967
62,33.1934044376799
65,26.6169816838469
71,33.0660474199267
75,31.6845468374406
77,31.6604695426126
78,30.4245375139737
80,28.0993205970672
81,45.2040421284084
83,38.3469831089599
84,32.8502673901996
85,28.4826498986668
88,26.2092678783606
92,24.7461684481775
100,26.4546922788966
101,26.2183368302956
104,45.0247540072817
108,20.0956984210816
109,23.6937330447697
111,26.7490457718486
117,28.6480939993592
119,56.1145842468004
123,36.3306337298725
126,39.4589144723236
127,49.4392883724174
128,43.7985044472694
130,27.9555333476969
137,35.7791542439288
140,56.3575896242
141,31.9282135733527
144,51.2757758436512
148,31.7255704856148
151,25.9988213657341
156,35.3067195555516
157,506.673152296957
161,48.6284762229677
162,45.8894657452936
165,42.0941034643572
166,57.8960809729224
167,57.2860629813285
168,48.3409509910468
169,36.7813050784264
170,61.4750725936951
175,50.6756952822509
177,45.6980095707013
179,37.5410586247472
180,45.7427117541354
181,15.8936226882524
185,42.7873204598604
186,23.3600322997415
188,30.84526524376
190,56.9954036475328
193,41.6740340810802
195,51.5972190958848
197,29.8577823019373
198,28.3000023953252
199,80.3272284483917
203,52.0186176274005
211,38.3539177111568
214,46.9027687940504
215,170.189901504
216,24.8709822134256
218,48.5720608661854
223,50.3503010008212
225,62.7758087118928
226,28.0550460386344
227,34.0785767469101
233,180.087547556874
238,34.8351877834632
241,34.6461634635205
242,37.2359040178542
244,28.8635768688966
245,30.2033379337724
249,42.9144833467094
257,40.7226358760706
260,57.8027482774241
262,46.7941649023417
264,46.2143255336587
274,48.5239367053262
276,56.2418789582885
278,69.0424191980217
283,30.7972547026673
285,76.5893088563653
287,45.9692981187691
295,58.5912212705546
300,51.3715621939111
301,53.0400637876946
302,79.9203735102742
305,40.0858036760719
307,36.7677267811055
310,39.5619518098592
311,36.624714362508
312,37.0262360642009
313,60.0904830089041
320,20.8535604119031
326,29.4423060624479
328,17.4467520163973
329,17.6787557950938
330,16.7579309151299
331,30.9425806529116
334,30.1233429891581
335,41.5422080327676
346,39.1791328478935
347,29.8444647520239
348,51.4799491400734
361,34.2941827705763
363,55.3143028353438
364,38.5238240476419
365,41.6865915578364
366,25.8475458707312
373,49.2274276532858
374,60.2047885770573
376,56.8920499005239
377,45.8756009669457
380,48.4035890096361
382,19.0777828467681
383,40.5017768004514
384,19.1459401984328
385,23.5556561903625
388,57.802055109785
390,16.9722387804688
391,39.1546627557091
397,62.4055371746938
400,61.0415928009427
405,60.0155944535641
409,22.0522349558887
411,81.5281189644306
412,57.2758967972841
416,19.2757610678423
417,52.3355206372732
420,26.6198349415638
424,35.680781736907
427,20.2842034888306
433,58.2345680640392
435,57.0744874321742
