actual,predicted
39.05038257,39.0153425087039
37.97570526,39.6121007979655
42.256,37.9096161047275
51.73461391,39.0193741486668
30.20941884,31.3340751109519
23.14,32.1719358342417
20.67705873,31.1439082200188
30.18,27.715779013476
44.02376458,44.8699861313221
15.424,28.3140133185523
34.88893209,30.5584051740345
12.64935437,38.9031352501563
20.7,35.7732526049215
24.40562809,33.2530719873721
21.94799122,44.8337497410218
9.735,32.6649932425047
24.14,42.8462283094947
66.2739258,34.2773430273636
32.076,39.7342671387418
15.55114674,39.9362237231554
14.11666124,46.8647190356761
62.13588059,42.8742356032776
27.776,46.5621307196661
55.332,54.4792971280983
39.94539112,44.2746967950995
69.756,58.8828361687756
34.512,52.291018426188
26.556,38.6218861276196
49.828,61.688612681436
47.484,40.6015653095025
28.372,60.1713618388326
41.77,44.6886377612756
37.35049321,58.7973675882566
61.80434803,47.5175583261679
53.116,38.0821893137571
23.642,66.4164514114196
23.042,69.0216348589828
98.23186666,94.8252644148431
41.86032034,63.4393852247692
95.636,45.7482271778939
56.668,43.9342536076079
23.312,31.1406658380109
36.824,37.3025504128235
21.352,35.471714261847
19.268,38.4608001202468
25.364,64.5420952330457
28.784,29.283547807655
46.584,61.140233460423
16.16,37.5692009013748
152.468,100.586269469515
26.888,29.262251523276
17.936,97.9243805126668
23.62,34.6661180290226
26.516,34.4054064684678
32.736,34.1624402866914
97.304,93.9875619473455
35.636,72.472700364045
88.32861051,47.2652680145633
46.308,54.4650000559253
109.128,54.42143189773
29.81065115,34.9770633782438
46.9,32.8958358832057
29.872,36.5028828084263
60.20299007,80.1450201480526
85.224,64.6469113262357
27.888,60.8924630918337
5.964764826,27.2710714211256
29.444,32.3772405821005
38.444,62.492494261154
19.624,51.2831045984878
39.168,49.3974421609164
49.112,64.7778872765494
44.632,64.085802696422
57.912,31.8082387785259
61.836,45.6355131569256
79.94,64.3208984294723
32.164,36.1671650902055
19.74,37.6703493966999
50.388,66.3765929154588
15.464,41.532521786025
44.73512294,51.1509393931699
58.692,40.0218755491916
