EUR_o..Mstb.,Fluid.Water..Gals.,Acid..Gals.,Fluid...Total..lbs.,Propping.Agent.Amount,Operator,Completion.Year,Surface.Latitude,SPBY.Spacing.Proxy,Top_Zone,Mesh.Size
40.2,0,3500,190946,136330,47.2149192475855,2003,31.65753,39.9132468291517,45.6894734043355,35.3283279841421
39.05038257,0,5000,206390,0,47.2149192475855,2003,31.71566,39.9132468291517,39.4022307057895,35.328327801602
51.856,334900,0,334900,553020,48.1210657990625,2004,31.95401,47.6641071277034,39.4022307057895,40.6680223128672
22.156,247212,0,247212,265000,48.1210657990625,2003,31.70024,47.6641071277034,39.4022307057895,35.0814313543503
45.276,0,5000,201636,0,47.2149192475855,2003,31.69134,39.9132468291517,45.6894734043355,35.3283277706531
57.8056949,0,5000,212551,135080,47.2149192475855,2003,31.66554,39.9132468291517,45.6894734043355,35.3283279841421
29.45106486,0,5000,203685,0,47.2149192475855,2003,31.65428,39.9132468291517,45.6894734043355,35.6142893662964
24.156,0,3500,153212,0,47.2149192475855,2003,31.67106,39.9132468291517,49.8051695977933,36.8558051180537
37.97570526,0,5000,203529,135990,47.2149192475855,2003,31.71988,41.1683860955319,45.6894734043355,35.3283279841421
42.256,0,5000,203996,0,47.2149192475855,2003,31.65389,39.9132468291517,45.6894734043355,35.5210914489459
55.65707668,0,5000,188309,124630,47.2149192475855,2003,31.71259,39.9132468291517,39.4022307057895,35.3283279841421
40.04565233,0,5000,194252,0,47.2149192475855,2003,31.71139,41.1683860955319,39.4022307057895,35.328327781561
54.56512178,0,5000,200787,0,47.2149192475855,2003,31.70902,39.9132468291517,39.4022307057895,35.3283277090957
38.49591628,0,0,317478,384990,48.1210657990625,2004,31.7163,41.1683860955319,45.6894734043355,35.9533485474139
51.73461391,0,5000,188918,131493,47.2149192475855,2004,31.65926,39.9132468291517,45.6894734043355,35.3283279841421
28.60094527,0,10500,280797,133448,47.2149192475855,2005,31.67149,41.1683860955319,45.6894734043355,35.3283279841421
