WellID,EUR_o..Mstb.,Operator,County,Completion.Year,Surface.Latitude,WB.Spacing.Proxy,SPBY.Spacing.Proxy,Fluid.Water..Gals.,Acid..Gals.,Gel.x.link..Gals.,Proppant...Total..lbs.,Fluid...Total..lbs.,Top_Zone,Deepest_Zone,Number,Depth.Top,Depth.Base,Fluid.Amount,Fluid.Type,Propping.Agent.Amount,Propping.Agent.Units,Additive,Mesh.Size,STRN..KHW.
2,40.2,0.333598896163696,-0.0606796117147334,-1.64868024014954,-0.110463590047615,-0.649579841586739,-0.978055117575381,-0.221183053963452,-0.059221047110194,-0.459624115902413,-0.102591261097889,-1.10700596893338,0.0200374461422351,-0.43280085033217,0.253705821038541,-1.21968430887113,-1.55143922086242,-0.832833362773546,-0.0326629279208702,-0.0292106838186802,0.358648690968236,-0.229710440460823,-0.488586575042391,0.236218180756494
3,39.05038257,0.333598896163696,-0.0606796117147334,-1.64868024014954,0.300644459050262,1.01096829201767,-0.978055117575381,-0.221183053963452,-0.0531664307827982,-0.429275502751685,-0.0894206460157961,-1.02885936323319,-2.19043289658,-0.43280085033217,-0.287167037478173,-1.21289566651944,-1.54750521230681,-2.38041013636768,-0.462017797851218,-0.0320689520095818,-2.84504389253725,-0.229710440460823,-0.44902302810306,0.0738614866961379
5,51.856,0.401753123193629,-0.0606796117147334,-1.32117087642968,1.96291291735172,-2.49739978637236,0.450016387518574,0.0842054466890782,-0.0733484852074508,-0.867593575214755,0.0878129773082611,-0.514190130476666,-2.19043289658,-0.43280085033217,-1.45040071513276,-1.22356665987439,0.0337020884753567,0.396873597691215,1.74361425893539,-0.0204744425477438,0.358648690968236,-0.527473192214175,0.0887273661788693,-0.208667674737009
7,22.156,0.401753123193629,-0.0606796117147334,-1.64868024014954,0.191811214618775,-0.771133263116276,0.450016387518574,0.00424454240356307,-0.0733484852074508,-0.867593575214755,-0.788547089544956,-0.842770489048682,-2.19043289658,-0.43280085033217,-1.45040071513276,-1.90395262148526,-0.490390376889914,0.158851692469461,-1.7654614607126,-0.0265130136938119,0.358648690968236,-0.132557692805138,-0.577362498681022,-1.33162790300776
10,45.276,0.333598896163696,-0.0606796117147334,-1.64868024014954,0.1289233386905,-1.04851979876473,-0.978055117575381,-0.221183053963452,-0.0531664307827982,-0.439622412312684,-0.570682453129885,-1.05240129774287,0.0200374461422351,-0.43280085033217,0.751355497633122,-1.20611397618366,-1.53849843595845,-2.54391873281529,-0.462017797851218,-0.0320689520095818,-2.84504389253725,-0.229710440460823,-0.488586590699743,0.155918715887715
11,57.8056949,0.333598896163696,-0.0606796117147334,-1.64868024014954,-0.0536805975739721,-0.649579841586739,-0.978055117575381,-0.221183053963452,-0.0531664307827982,-0.415866308429996,-0.102717638909797,-0.998986933332594,0.0200374461422351,-0.43280085033217,0.609969665226977,-1.2284228014971,-1.57049136304582,-0.797799755690079,-0.0326629279208702,-0.0292368910748867,0.358648690968236,0.0725743981018695,-0.488586575042391,0.205390768949412
13,29.45106486,0.333598896163696,-0.0606796117147334,-1.64868024014954,-0.133515175800821,-0.771133263116276,-0.978055117575381,-0.221183053963452,-0.0531664307827982,-0.435162837703831,-0.10519735452702,-1.04220072804459,0.0200374461422351,-0.43280085033217,0.751355497633122,-1.41764481827647,-1.67035551158758,-2.54391873281529,-0.462017797851218,-0.0320689520095818,-2.84504389253725,-0.229710440460823,-0.488586591308866,-0.159329450084265
14,24.156,0.333598896163696,-0.0606796117147334,-1.64868024014954,-0.0145743200431191,-0.771133263116276,-0.978055117575381,-0.221183053963452,-0.059221047110194,-0.549024548617508,-0.506404941732739,-1.34273572978581,1.13799056835638,-0.43280085033217,0.253705821038541,-0.675077303346451,-1.12001396009602,-2.38041013636768,-0.462017797851218,-0.0320689520095818,-2.84504389253725,-1.59597848745409,-0.461129684609192,-0.0388525797880582
16,37.97570526,0.333598896163696,-0.0606796117147334,-1.64868024014954,0.330401254763887,-0.771133263116276,-0.691057779869329,-0.221183053963452,-0.0531664307827982,-0.435502366078151,-0.101126257441813,-1.04297445110873,0.0200374461422351,-0.43280085033217,0.609969665226977,-1.22939445728846,-1.55817409273368,-0.848061152751665,-0.0326629279208702,-0.0292178121923684,0.358648690968236,-0.133394799372757,-0.488586575042391,0.0371823710006098
17,42.256,0.333598896163696,-0.0606796117147334,-1.64868024014954,-0.136281843242564,-0.771133263116276,-0.978055117575381,-0.221183053963452,-0.0531664307827982,-0.43448595741913,-0.0988313419914057,-1.04065965521936,0.0200374461422351,-0.43280085033217,0.751355497633122,-1.53871437006864,-1.64083679337732,-2.54391873281529,-0.462017797851218,-0.0320689520095818,-2.84504389253725,-0.229710440460823,-0.448641621755036,-0.374534151138396
22,55.65707668,0.333598896163696,-0.0606796117147334,-1.64868024014954,0.278989277867285,1.01096829201767,-0.978055117575381,-0.221183053963452,-0.0531664307827982,-0.468628147213698,-0.103349729155931,-1.12085084928194,-2.19043289658,-0.43280085033217,0.446751700110453,-1.21871407664697,-1.4392240378252,-0.877505576590573,-0.0326629279208702,-0.0294559837367727,0.358648690968236,-0.260190488680211,-0.488586575042391,0.0619327632928717
23,40.04565233,0.333598896163696,-0.0606796117147334,-1.64868024014954,0.270523002231439,-0.649579841586739,-0.691057779869329,-0.221183053963452,-0.0531664307827982,-0.455693422030481,-0.103172710076667,-1.08986314367515,-2.19043289658,-0.43280085033217,0.751355497633122,-1.23814578083019,-1.45248578297054,-2.54391873281529,-0.462017797851218,-0.0320689520095818,-2.84504389253725,-0.229710440460823,-0.429474794764205,0.0145222726032233
